isbn,title,author,price,language,num_pages,date,rating,num_rating,category 1,category 2,category 3
9781861974044,The Concise 48 Laws Of Power,Robert Greene,651.66,English,208,13 Jun 2002,4.22,2645,Society & Culture: General,Sociology & Anthropology,Sociology
9781408726600,Verity : The thriller that will capture your heart and blow your mind,Colleen Hoover,648.11,English,336,20 Jan 2022,4.42,535331,Crime,Crime Fiction,Thriller Books
9780091816971,Who Moved My Cheese,Dr Spencer Johnson,642.28,English,96,31 Oct 2018,3.84,415767,Psychology,Business & Management,Office & Workplace
9780575081406,The Name of the Wind,Patrick Rothfuss,673.26,English,672,30 Jun 2008,4.52,815841,Fantasy,Fantasy Books
9780345391803,The Hitchhiker's Guide to the Galaxy,Douglas Adams,639.9,English,224,01 Nov 1995,4.22,1613147,Contemporary Fiction,Adventure Books,Science Fiction
9781406313185,Where's Wally?,Martin Handford,629.96,English,32,26 Jul 2011,4.16,7159,Characters,Activity Books,Children's Fiction
9780571081783,The Bell Jar,Sylvia Plath,671.43,English,240,15 Aug 2011,4.03,700010,Autobiography: Literary,Contemporary Fiction,Classic Books & Novels
9780007279067,Mr Stink,David Walliams,650.45,English,272,27 May 2010,4.21,13172,Contemporary Fiction,Children's Fiction,Children's General Story Books
9780399501487,Lord of the Flies,William Golding,660.63,English,224,15 Jul 2011,3.69,2528379,Language Teaching & Learning Material & Coursework,Contemporary Fiction,Classic Books & Novels
9781800180796,Cain's Jawbone : A Novel Problem,Ernest Powys Mathers,680.86,English,100,08 Jul 2021,4.09,133
9780141361796,The Book With No Pictures,B. J. Novak,652.87,English,48,04 Feb 2016,4.31,26111,Storybooks,First Words,Funny Books for Kids
9781447263227,Fangirl,Rainbow Rowell,661.95,English,480,30 Jan 2014,4,670260,Children's General Story Books,Romance Books for Teenagers,Family
9780679720201,The Stranger,Albert Camus,684.94,English,144,09 Aug 2016,4,832975,Contemporary Fiction,Classic Books & Novels
9780142414828,Revolting Rhymes,Roald Dahl,642.3,English,48,15 Jul 2011,4.13,19844,Rhyming & Wordplay,Anthologies,Poetry Books for Kids
9781447281580,The 39-Storey Treehouse,Andy Griffiths,631.54,English,352,30 Jul 2015,4.3,4687,Children's Fiction,Children's General Story Books,Adventure Books for Kids
9781407132099,Catching Fire,Suzanne Collins,675.54,English,448,07 Feb 2012,4.3,2913423,"Assertiveness, Motivation & Self-esteem",Children's General Story Books,Adventure Books for Kids
9780141043029,Outliers : The Story of Success,Malcolm Gladwell,649.54,English,384,04 Jun 2009,4.18,663662,Sociology,Psychology,"Social, Group Or Collective Psychology"
9780007150366,Lost and Found,Oliver Jeffers,658.3,English,32,02 May 2006,4.35,9045,Picture Books
