isbn,title,author,price,language,num_pages,date,rating,num_rating,category 1,category 2,category 3
9780007279067,Mr Stink,David Walliams,653.17,English,272,27 May 2010,4.21,13172,Contemporary Fiction,Children's Fiction,Children's General Story Books
9780399501487,Lord of the Flies,William Golding,663.4,English,224,15 Jul 2011,3.69,2528379,Language Teaching & Learning Material & Coursework,Contemporary Fiction,Classic Books & Novels
9780141361796,The Book With No Pictures,B. J. Novak,655.6,English,48,04 Feb 2016,4.31,26111,Storybooks,First Words,Funny Books for Kids
9781447263227,Fangirl,Rainbow Rowell,664.72,English,480,30 Jan 2014,4,670260,Children's General Story Books,Romance Books for Teenagers,Family
9780679720201,The Stranger,Albert Camus,688.03,English,144,09 Aug 2016,4,832975,Contemporary Fiction,Classic Books & Novels
9780142414828,Revolting Rhymes,Roald Dahl,645.2,English,48,15 Jul 2011,4.13,19844,Rhyming & Wordplay,Anthologies,Poetry Books for Kids
9781447281580,The 39-Storey Treehouse,Andy Griffiths,634.18,English,352,30 Jul 2015,4.3,4687,Children's Fiction,Children's General Story Books,Adventure Books for Kids
9781407132099,Catching Fire,Suzanne Collins,678.37,English,448,07 Feb 2012,4.3,2913423,"Assertiveness, Motivation & Self-esteem",Children's General Story Books,Adventure Books for Kids
9781800180796,Cain's Jawbone : A Novel Problem,Ernest Powys Mathers,683.71,English,100,08 Jul 2021,4.09,131
9780141043029,Outliers : The Story of Success,Malcolm Gladwell,652.48,English,384,04 Jun 2009,4.18,662244,Sociology,Psychology,"Social, Group Or Collective Psychology"
9780007150366,Lost and Found,Oliver Jeffers,661.05,English,32,02 May 2006,4.35,9045,Picture Books
9781474603041,The Grownup,Gillian Flynn,610.49,English,96,05 Nov 2015,3.56,111919,Contemporary Fiction,Crime,Crime Fiction
9781407132105,Mockingjay,Suzanne Collins,678.37,English,448,06 Feb 2012,4.06,2680970,Adventure Books for Kids,Sci Fi Books for Kids
9780006546061,Fahrenheit 451,Ray Bradbury,653.57,English,192,16 Mar 2018,3.98,1971545,Classic Books & Novels,Political & Legal,Political & Legal
9780451205360,The Richest Man In Babylon,George S Clason,670.88,English,196,31 Oct 2018,4.26,147746,Business & Management,Business Ethics,Management: Leadership & Motivation
9780571338757,Milkman : WINNER OF THE MAN BOOKER PRIZE 2018,Anna Burns,678.98,English,368,01 Nov 2018,3.55,50629,Contemporary Fiction
9780747585664,"Eat, Pray, Love : One Woman's Search for Everything",Elizabeth Gilbert,689.82,English,384,05 Mar 2007,3.59,1599983,Biography: General,Autobiography: General,Guidebooks
9780241951446,A Clockwork Orange,Anthony Burgess,610.12,English,144,16 Jun 2011,4,649974,Contemporary Fiction,Classic Books & Novels,Crime
9780061956270,Freakonomics : A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,648.9,English,336,31 Oct 2018,3.99,781586,Economic Theory & Philosophy,Economic Theory & Philosophy,Business & Management
9780091906351,How to Win Friends and Influence People,Dale Carnegie,684.4,English,304,16 Aug 2010,4.21,774984,Management: Leadership & Motivation,Personnel & Human Resources Management,Family & Relationships
9781780622316,Crooked Kingdom : (Six of Crows Book 2),Leigh Bardugo,665.99,English,560,21 Jun 2017,4.61,407850,Children's Fiction,Sci Fi Books for Kids,Fantasy Books for Kids
9780349701479,The Vanishing Half : Shortlisted for the Women's Prize 2021,Brit Bennett,654.03,English,384,03 Jun 2021,4.2,525065,Contemporary Fiction,Sagas
9781509839162,The 91-Storey Treehouse,Andy Griffiths,635.29,English,384,24 Aug 2017,4.47,2528,Children's Fiction,Adventure Books for Kids,Funny Books for Kids
9780142410387,The BFG,Roald Dahl,641.24,English,224,16 Aug 2007,4.22,426414,Children's Fiction,Classic Books for Children,Children's General Story Books
9780006479895,A Clash of Kings,George R.R. Martin,676.5,English,928,10 May 2011,4.41,844202,Contemporary Fiction,Adventure Books,Fantasy
9780708898406,The Underground Railroad : Winner of the Pulitzer Prize for Fiction 2017,Colson Whitehead,654.87,English,400,29 Jun 2017,4.05,347459,Contemporary Fiction,Historical Fiction
9781471407369,The Wicked King (The Folk of the Air #2),Holly Black,649.61,English,368,04 Oct 2019,4.35,325403,Fantasy,Fantasy Books,Children's General Story Books
9780451531056,The Complete Poetry Of Edgar Allan Poe,Edgar Allan Poe,612.41,English,139,26 Nov 2009,4.3,13930,Poetry Books,Poetry By Individual Poets,Contemporary Fiction
9781785656477,If We Were Villains,M. L. Rio,682.13,English,400,13 Jun 2017,4.2,63325,Crime,Crime Fiction,Thriller Books
